INFO:JanKowalski: User login : Date: 2024-04-19 16:25:58,439 : IP : 83.27.114.67
INFO:JanKowalski: Loaded directory : ./users/JanKowalski : Date: 2024-04-19 16:25:58,441 : IP : 83.27.114.67
INFO:JanKowalski: Logs opened : Date: 2024-04-19 16:26:00,158 : IP : 83.27.114.67
INFO:JanKowalski: Loaded directory : /workspace/fileshark/users/JanKowalski : Date: 2024-04-19 16:26:02,945 : IP : 83.27.114.67
INFO:JanKowalski: Logout : Date: 2024-04-19 16:26:04,106 : IP : 83.27.114.67
INFO:JanKowalski: User login : Date: 2024-04-19 16:29:35,828 : IP : 83.27.114.67
INFO:JanKowalski: Loaded directory : ./users/JanKowalski : Date: 2024-04-19 16:29:35,830 : IP : 83.27.114.67
INFO:JanKowalski: Logs opened : Date: 2024-04-19 16:29:37,513 : IP : 83.27.114.67
INFO:JanKowalski: Loaded directory : /workspace/fileshark/users/JanKowalski : Date: 2024-04-19 16:29:39,650 : IP : 83.27.114.67
INFO:JanKowalski: Logs opened : Date: 2024-04-19 16:35:01,727 : IP : 83.27.114.67
INFO:JanKowalski: Loaded directory : /workspace/fileshark/users/JanKowalski : Date: 2024-04-19 16:35:02,848 : IP : 83.27.114.67
INFO:JanKowalski: Logs opened : Date: 2024-04-19 16:36:13,060 : IP : 83.27.114.67
INFO:JanKowalski: Loaded directory : /workspace/fileshark/users/JanKowalski : Date: 2024-04-19 16:36:14,443 : IP : 83.27.114.67
WARNING:JanKowalski: You cannot access the directory : Date: 2024-04-19 16:36:16,789 : IP : 83.27.114.67
INFO:JanKowalski: Loaded directory : ./users/JanKowalski : Date: 2024-04-19 16:36:16,790 : IP : 83.27.114.67
INFO:JanKowalski: Logs opened : Date: 2024-04-19 16:36:47,663 : IP : 83.27.114.67
INFO:JanKowalski: Loaded directory : /workspace/fileshark/users/JanKowalski : Date: 2024-04-19 16:36:50,107 : IP : 83.27.114.67
INFO:JanKowalski: Logs opened : Date: 2024-04-19 16:36:58,672 : IP : 83.27.114.67
INFO:JanKowalski: Loaded directory : /workspace/fileshark/users/JanKowalski : Date: 2024-04-19 16:37:00,840 : IP : 83.27.114.67
WARNING:JanKowalski: You cannot access the directory : Date: 2024-04-19 16:37:18,199 : IP : 83.27.114.67
INFO:JanKowalski: Loaded directory : ./users/JanKowalski : Date: 2024-04-19 16:37:18,200 : IP : 83.27.114.67
INFO:JanKowalski: Logs opened : Date: 2024-04-19 16:37:20,333 : IP : 83.27.114.67
INFO:JanKowalski: Loaded directory : /workspace/fileshark/users/JanKowalski : Date: 2024-04-19 16:37:21,680 : IP : 83.27.114.67
INFO:JanKowalski: Logout : Date: 2024-04-19 16:37:22,442 : IP : 83.27.114.67
